Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
6/1/2020,8.75,8.7,8.45,8.95,8.75,8.5,8.85,8.8,8.4,,8.683333333
7/1/2020,8.766666667,8.7,8.4,9,8.766666667,8.4,8.9,8.8,8.333333333,,8.674074074
8/1/2020,8.783333333,8.7,8.35,9.05,8.783333333,8.3,8.95,8.8,8.266666667,,8.664814815
9/1/2020,8.8,8.7,8.3,9.1,8.8,8.2,9,8.8,8.2,,8.655555556
10/1/2020,8.8,8.5,8.8,8.4,8.7,8.7,8.8,8.3,8.2,,8.577777778
11/1/2020,7.9,7.9,8.4,8.4,8,8,7.9,8,7.7,,8.022222222
12/1/2020,8,8,8.2,8.2,8.5,8,8.1,8.4,8.1,,8.166666667
1/1/2021,8.3,8.2,8.2,8.1,8.2,8.3,8.4,8.3,8,,8.222222222
2/1/2021,8.1,8,7.9,7.7,8,8.2,8.4,8,8.2,,8.055555556
3/1/2021,8.7,8.4,8.3,8.7,8.4,8.1,8.5,8.4,8.6,,8.455555556
4/1/2021,8.55,8.4,8.35,8.55,8.3,8.3,8.35,8.4,8.3,,8.388888889
5/1/2021,8.4,8.4,8.4,8.4,8.2,8.5,8.2,8.4,8,,8.322222222
6/1/2021,8.7,8.2,9,9.7,8.9,9.1,8.9,9,8.9,,8.933333333
7/1/2021,8.9,8.9,8.5,9.1,8.8,9.1,8.8,8.9,9.6,,8.955555556
8/1/2021,8.2,8.2,8.3,8.4,8.7,8.7,8.3,9.25,7.4,,8.383333333
9/1/2021,9.2,8.8,9.2,9,8.9,8.9,9,9.6,9.2,,9.088888889
10/1/2021,8.1,7.7,7.8,8.3,7.7,7.6,7.6,8,7.7,,7.833333333
11/1/2021,8.1,7.9,7.9,8.2,8.1,8.3,8.2,8,8,,8.077777778
12/1/2021,8.3,8.4,8.2,8.1,8.3,8.2,8.2,8.1,8.2,,8.222222222
1/1/2022,8.3,8.4,8.2,8.3,8.35,8.25,8.25,8.2,8.2,,8.272222222
2/1/2022,8.3,8.4,8.2,8.5,8.4,8.3,8.3,8.3,8.2,,8.322222222
3/1/2022,7.9,8.2,8,8.3,8.2,8,8.1,8.2,8.1,,8.111111111
4/1/2022,8.2,8.1,8.3,8.7,8.1,8.3,8.3,8.4,8.2,,8.288888889
5/1/2022,8.2,8.2,8.4,8.3,8.2,8.1,8.1,8.5,8.5,,8.277777778
6/1/2022,9,9,9.1,9,8.8,8.9,8.9,9.1,9.2,,9
7/1/2022,9.4,9.3,9.4,9.3,9.2,8.9,8.3,9.4,9.2,,9.155555556
8/1/2022,7.9,8,8.9,8.5,8.8,8.2,8.5,8.7,8.9,,8.488888889
9/1/2022,7.9,8,7.8,8.6,6.8,7.9,8,8.7,8.3,,8
10/1/2022,7.5,7.6,7.7,7.7,8.1,7.9,7.7,7.8,7.4,,7.711111111
11/1/2022,7.5,7.3,7.75,8,7.7,7.4,7.6,8,7,,7.583333333
12/1/2022,7.1,7.6,7.8,7.3,7.1,7.8,7.6,7.8,7.4,,7.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
